"id","ServiceName","ServiceDescription","ServicePrice","ServiceType","Time","Guarantee"
"24","Администрирование корпоративных сервисов","Обеспечение администрирования","22,000.00","IT-аутсорсинг","21","180"
"25","Сервисная поддержка и ремонт оборудования","Обеспечение ремонта и сервиса","16,000.00","IT-аутсорсинг","7","180"
"26","Техподдержка офисной печати","с возможностью перехода на оплату за каждую отпечатанную страницу","7,000.00","IT-аутсорсинг","7","30"
"27","ИТ-аудит ","Проведение аудита","25,000.00","IT-аутсорсинг","21","90"
"28","Монтаж и пусконаладка ИТ-оборудования","Проведение монтажа","16,000.00","IT-аутсорсинг","14","90"
"29","Аутсорсинг персонала","Аутсорсинг персонала","19,000.00","IT-аутсорсинг","14","60"
"30","Организация ИТ-переезда","Организуем ИТ-переезд","20,000.00","IT-аутсорсинг","10","30"
"31","Разработка на стеке платформы Diasoft Framework","Разработка приложений","30,000.00","Разработка ПО","60","180"
"32","Разработка на стеке JBoss Java","Разработка приложений","30,000.00","Разработка ПО","60","180"
"33","Разработка на стеке Django/Python","Разработка приложений","30,000.00","Разработка ПО","60","180"
"34","Разработка на стеке Android","Разработка приложений","30,000.00","Разработка ПО","60","180"
"35","Инвентаризация ИТ-инфраструктуры","Проведение инвентаризации","20,000.00","IT-аутсорсинг","14","30"
"36","Разработка на стеке IOS","Разработка приложений","30,000.00","Разработка ПО","60","180"
"37","Поддержка систем корпоративной телефонной связи","Проведение поддержки","21,000.00","IT-аутсорсинг","14","30"
"38","Аудит информационной безопасности","Экспертный аудит, аудит соответствия требованиям, тестирование на проникновение","25,000.00","Безопасность","21","180"
"39","Разработка регламентов архивации и форматов долговременного хранения документов","Электронный архив документов и система долговременного хранения","28,000.00","Разработка ПО","60","180"
"40","Проектирование архитектуры и инфраструктуры электронного архива","Электронный архив документов и система долговременного хранения","28,000.00","Разработка ПО","60","180"
"41","Защита от целенаправленных атак","Обесчение защиты от целенаправленных атак","20,000.00","Безопасность","10","60"
"42","Криптографическая защита информации","Обеспечение криптографической защиты информации","22,000.00","Безопасность","14","60"
"43","Защита от утечек информации (DLP)","Обеспечение защиты","20,000.00","Безопасность","14","60"
"44","Автоматизация потокового ввода, услуги по распознанию и структуризации первичной документации","Обеспечение автоматизации","29,000.00","Разработка ПО","60","180"
"45","Автоматизация рубрикации, архивации и уничтожения электронных документов","Обеспечение автоматизации","29,000.00","Разработка ПО","60","180"
"46","Мониторинг доступности ИТ-инфраструктуры","Проведение мониторинга","16,000.00","IT-аутсорсинг","10","30"
"47","Сопровождение сетевого оборудования и сетей передачи данных","Сопровождение","17,000.00","IT-аутсорсинг","21","60"
"48","Обслуживание систем хранения данных","Обслуживание","24,000.00","IT-аутсорсинг","21","90"
"49","Обслуживание корпоративных систем видеоконференцсвязи и других коммуникационных систем","Обслуживание","12,000.00","IT-аутсорсинг","14","90"
"50","Обслуживание оргтехники","Обслуживание","24,000.00","IT-аутсорсинг","21","120"
"51","Управление уязвимостями","Обеспечение управления","20,000.00","Безопасность","7","30"
